Artist,ID,Unique Artists,Picture URL,Image Author,Image Source,Type
SEVENTEEN,57,AOA,https://upload.wikimedia.org/wikipedia/commons/b/b6/160924_AOA_%EC%9D%B8%EC%B2%9C%ED%95%9C%EB%A5%98%EA%B4%80%EA%B4%91%EC%BD%98%EC%84%9C%ED%8A%B8.jpg,shinjimindotcom,http://hdpics.tistory.com/149,Girl Group
Dreamcatcher,58,2PM,https://upload.wikimedia.org/wikipedia/commons/e/e9/2PM%2Ca_Korean_boy_band_-_5865346497.jpg,Korea.net / Korean Culture and Information Service (Jeon Han),https://www.flickr.com/photos/42438955@N05/5865346497/,Boy Group
SEVENTEEN,59,THE BOYZ,https://upload.wikimedia.org/wikipedia/commons/2/25/180112_%EB%8D%94%EB%B3%B4%EC%9D%B4%EC%A6%88_01.jpg,뉴스인스타,https://www.youtube.com/watch?v=lIcevs3Rs8M,Boy Group
Red Velvet,60,JBJ,https://upload.wikimedia.org/wikipedia/commons/7/77/171021_JBJ_01.jpg,DRAGON SOUP,http://dragonxxsoup.tistory.com/148,Boy Group
SEVENTEEN,61,MAMAMOO,https://upload.wikimedia.org/wikipedia/commons/5/53/Mamamoo_in_2016_Korea_Sale_Festa_Opening_Ceremony.jpg,Republic of Korea,https://www.flickr.com/photos/koreanet/30058079055/in/album-72157626585071327/,Girl Group
SEVENTEEN,62,NCT 127,https://upload.wikimedia.org/wikipedia/commons/5/51/160820_busan_nct_127_01.png,Ellin Y,https://www.youtube.com/watch?v=pNddADYFJbI,Boy Group
SEVENTEEN,63,HALO,https://upload.wikimedia.org/wikipedia/commons/a/ab/Idol_group_%E2%80%98HALO%E2%80%99_members_arrive_at_the_red_carpet_event_of_the_Puchon_International_Fantastic_Film_Festival_in_Bucheon_on_July_17%2C_2014.jpg,Korea.net / Korean Culture and Information Service (Jeon Han),https://www.flickr.com/photos/koreanet/14703807414/,Boy Group
K.A.R.D.,64,SNUPER,https://upload.wikimedia.org/wikipedia/commons/5/58/09%EC%9B%94_26%EC%9D%BC_%EB%AE%A4%EC%BD%98_%EC%87%BC%EC%BC%80%EC%9D%B4%EC%8A%A4_MUCON_Showcase_%2891%29.jpg,사진&여행 (生活의發見),http://travel1004.tistory.com/414,Boy Group
K.A.R.D.,65,(G)I-DLE,https://upload.wikimedia.org/wikipedia/commons/1/1d/%28G%29I-DLE_at_%27Latata%27_Showcase_Photo_Time_on_May_2%2C_2018_%285%29.png,뉴스인스타,https://www.youtube.com/watch?v=qkAYBg8nrJs&feature=youtu.be,Girl Group
K.A.R.D.,66,CHUNG HA,https://upload.wikimedia.org/wikipedia/commons/2/27/Chungha_leaving_Choi_Hwa_Jung%27s_Power_Time_on_January_23%2C_2018.jpg,SHAQ Photo,http://shaq32.tistory.com/642,Solo
K.A.R.D.,67,Unb,https://upload.wikimedia.org/wikipedia/commons/9/91/180303_UNB_01.png,dispatchsns,https://www.youtube.com/watch?v=IgENFDClD_Y,Boy Group
K.A.R.D.,68,Unit G,https://upload.wikimedia.org/wikipedia/commons/7/76/180303_UNI.T_01.png,dispatchsns,https://www.youtube.com/watch?v=bWZe2SU38iY,Girl Group
GOT7,69,PRODUCE 48,https://upload.wikimedia.org/wikipedia/commons/4/4d/20160730-P1000778_%2828679597150%29.jpg,mduangdara,https://www.flickr.com/photos/mduangdara/28679597150/,Girl Group
BLACKPINK,70,iKON,https://upload.wikimedia.org/wikipedia/commons/0/07/LG%EC%A0%84%EC%9E%90%2C_%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%EA%B8%89_%EA%B0%9C%EC%84%B1_%EA%B0%96%EC%B6%98_%E2%80%98X_%EC%8B%9C%EB%A6%AC%EC%A6%88%E2%80%99_%EC%B6%9C%EC%8B%9C_%2825673479820%29.jpg,LG전자,https://www.flickr.com/photos/lge/25673479820/,Boy Group
ASTRO,71,TEEN TOP,https://upload.wikimedia.org/wikipedia/commons/4/47/160821_teen_top.jpg,JJONG's HOUSE,http://cfile3.uf.tistory.com/image/26273A3858693A8808E174,Boy Group
BLACKPINK,72,Lovelyz,https://upload.wikimedia.org/wikipedia/commons/2/22/Team_Korea_Rio_2016_07.jpg,Korea.net / Korean Culture and Information Service (Jeon Han),https://flic.kr/p/Jnk7Pp,Girl Group
ASTRO,73,NCT U,https://upload.wikimedia.org/wikipedia/commons/a/a0/NCT_going_to_a_Music_Bank_recording_in_April_2018_01.png,뉴스인스타 (News In Star),https://www.youtube.com/watch?v=rpMvqN_BR6g,Boy Group
BLACKPINK,74,TAEMIN,https://upload.wikimedia.org/wikipedia/commons/c/c3/Lee_Tae-min_at_24th_Dream_Concert_14.png,Nine Stars,https://www.youtube.com/watch?v=PPZU5K083P8,Solo
ASTRO,75,BoA,https://upload.wikimedia.org/wikipedia/commons/6/6a/%E2%80%9C%ED%96%89%EB%B3%B5%EC%9D%84_%EB%82%98%EB%88%A0%EC%9A%94%E2%80%9D_..._%EB%B3%B4%EC%95%84%2C_%EC%96%BC%EA%B5%B4%EB%A7%8C%ED%81%BC_%EC%98%88%EC%81%9C_%EB%A7%88%EC%9D%8C_BoA_%28%EB%94%94%ED%8C%A8%EC%A7%A4%29.jpg,[1],https://www.youtube.com/watch?v=gSfaBPjcEWA,Solo
Dreamcatcher,76,Moon Byul,https://upload.wikimedia.org/wikipedia/commons/0/04/170923_%EB%A7%88%EB%A7%88%EB%AC%B4_24.jpg,Holic,http://dkyouholic.tistory.com/91,Solo
BTS,77,T-ara,https://upload.wikimedia.org/wikipedia/commons/6/65/T-ara_at_the_Cyworld_Dream_Music_Festival.jpg,Jinho.Jung,https://www.flickr.com/photos/phploveme/5968954324/,Girl Group
EXO,78,TVXQ!,https://upload.wikimedia.org/wikipedia/commons/3/31/Kpop_World_Festival_113.jpg,Korea.net / Korean Culture and Information Service (Jeon Han),https://www.flickr.com/photos/42438955@N05/8156698239/,Boy Group
Pristin,,,,,,
IOI,,,,,,
Eric Nam,,,,,,
IOI,,,,,,
Sunmi,,,,,,
Girls Day,,,,,,
Red Velvet,,,,,,
Cosmic Girls,,,,,,
PLAYBACK,,,,,,
Girls Day,,,,,,
EXID,,,,,,
Crayon Pop,,,,,,
MONSTA X,,,,,,
WINNER,,,,,,
MONSTA X,,,,,,
2NE1,,,,,,
SUPER JUNIOR-D&E,,,,,,
Red Velvet,,,,,,
Super Junior,,,,,,
AMBER,,,,,,
Red Velvet,,,,,,
GD X TAEYANG,,,,,,
GFRIEND,,,,,,
GFRIEND,,,,,,
GFRIEND,,,,,,
GFRIEND,,,,,,
GFRIEND,,,,,,
GFRIEND,,,,,,
GFRIEND,,,,,,
PENTAGON,,,,,,
PENTAGON,,,,,,
