ID,Song Title,Artist,Year,YouTube MV Link,MV Start Time (Min.Second),YouTube Dance Practice Link,Dance Practice Start Time (Min.Sec),Duration (Second),Difficulty
161,Back,INFINITE,2014,https://youtu.be/YiiqHq_kNnU,1.32,https://youtu.be/pxsDPxRfV0E,1.23,67,Hard
162,The Chaser,INFINITE,2012,https://youtu.be/wgmSImDoJNg,1.34,https://youtu.be/RTXmhKapmCI,0.45,20,Medium
163,BTD,INFINITE,2011,https://youtu.be/JvNUilVWFDs,1.22,https://youtu.be/F8s8v9Mj8XM,0.44,32,Medium
164,BBoom BBoom,MOMOLAND,2018,https://youtu.be/JQGRg8XBnB4,1.04,https://youtu.be/hLv5MBuSYDY,1.07,36,Easy
165,Abracadabra,Brown Eyed Girls,2009,https://youtu.be/ofwFr8o8p0Y,0.4,https://youtu.be/y3sDTpwEi7E,0.12,22.5,Easy
166,Hobgoblin,CLC,2017,https://youtu.be/TcdeTC0W16k,0.05,https://youtu.be/lyzpY6RkUA8,1.01,18,Medium
167,I AM THE BEST,2NE1,2011,https://youtu.be/j7_lSP8Vc3o,1.21,https://youtu.be/fl19JYqW6MI,1.2,19,Easy
168,Crazy,4MINUTE,2015,https://youtu.be/1nCLBTmjJBY,0.52,https://youtu.be/2qJPDmUhPIM,0.52,25,Easy
169,Hate,4MINUTE,2016,https://youtu.be/D_F9HUTYnl0,1.1,https://youtu.be/K75mypcWXak,1.04,31.5,Easy
170,WE LIKE,Pristin,2017,https://youtu.be/J6LAzgZi8N8,1.02,https://youtu.be/DOx-aamQ0Ag,1.04,20.5,Easy
171,Pick Me,Wanna One,2017,https://youtu.be/NIld_iEc67s,1.47,https://youtu.be/i_3vc7FMydw,1,67,Hard
172,GANGNAM STYLE,PSY,2012,https://youtu.be/9bZkp7q19f0,1.01,https://youtu.be/aVcUPeMsUUU,0.58,39.5,Easy
173,GENTLEMAN,PSY,2013,https://youtu.be/ASO_zypdnsQ,0.53,https://youtu.be/pGBbvAGnTxA,0.58,24,Easy
174,DADDY,PSY,2015,https://youtu.be/FrG4TEcSuRg,1.15,https://youtu.be/pGBbvAGnTxA,1.09,33,Easy
175,Rollin',B1A4,2017,https://youtu.be/cbBMwrdEIdc,0.4,https://youtu.be/dLb3-eNEmec,0.5,17,Medium
176,New Face,PSY,2017,https://youtu.be/OwJPPaEyqhI,0.52,https://youtu.be/y8Ewdrr7bxA,0.46,27,Medium
177,Whatta Man,IOI,2016,https://youtu.be/fOn5tSagerY,0.44,https://youtu.be/B59QHTefF4M,1.21,31,Easy
178,Bubble Pop!,HyunA,2011,https://youtu.be/bw9CALKOvAI,0.4,https://youtu.be/uf0iPEjcM44,0.41,36,Easy
179,What's Happening,B1A4,2013,https://youtu.be/oqxHy4G9FMI,0.41,https://youtu.be/P9Lu8FwEeVE,1.2,35,Medium
180,Lip & Hip,HyunA,2017,https://youtu.be/vcqImqOVE2U,1.02,https://youtu.be/jiKms3ta2Sw,1.08,40,Easy
181,BABE,HyunA,2017,https://youtu.be/b9xndFqGJ4k,0.46,https://youtu.be/yeTccAnXDJw,0.46,42,Medium
182,Fantasy,VIXX,2016,https://youtu.be/IuaRdAozUI0,0.5,https://youtu.be/M76CbVfndT8,0.5,20,Hard
183,BABY GOOD NIGHT,B1A4,2012,https://youtu.be/j_ZnxKSPJH8,0.58,https://youtu.be/VTEVKlROzbI,0.39,34,Easy
184,Chained Up,VIXX,2015,https://youtu.be/vqzBrI76e4g,0.53,https://youtu.be/yeQrFlCDOQs,0.38,26,Medium
185,Error,VIXX,2014,https://youtu.be/IF8kySIcWNw,1.18,https://youtu.be/aqrmuHhp-4I,1.25,40,Medium
186,Dynamite,VIXX,2016,https://youtu.be/4bnIb1JJHdA,0.46,https://youtu.be/QbnyOn4jeeg,0.48,32,Medium
187,Going Crazy,UP10TION,2017,https://youtu.be/l-qQUYcqTJs,0.55,https://youtu.be/_b-jllwft_A,0.53,40,Hard
188,Runner,UP10TION,2017,https://youtu.be/kGQSmW8X1H0,0.51,https://youtu.be/D0ZBx8rX9zg,0.5,27,Hard
189,"So, Dangerous",UP10TION,2015,https://youtu.be/6cBQ9DzpQRk,2,https://youtu.be/NzZnmfiKFW8,1.13,10,Medium
190,Attention,UP10TION,2016,https://youtu.be/TGzFv3g3luA,0.52,https://youtu.be/6L9l5Ozx6ss,0.53,23,Medium
